Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
06/06/2026 21:41:16,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
06/06/2026 21:41:16,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,151306240
06/06/2026 21:41:16,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,4
06/06/2026 21:41:16,System.Runtime,dotnet.timer.count ({timer}),Metric,28
06/06/2026 21:41:16,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
06/06/2026 21:41:16,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
06/06/2026 21:41:16,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
06/06/2026 21:41:16,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
06/06/2026 21:41:17,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.019518099999999983
06/06/2026 21:41:17,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,3121
06/06/2026 21:41:17,System.Runtime,dotnet.process.memory.working_set (By),Metric,209108992
06/06/2026 21:41:17,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,32
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,524344
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,688944
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,2386568
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,157895840
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,843064
06/06/2026 21:41:17,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,45
06/06/2026 21:41:17,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.00426
06/06/2026 21:41:17,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.0508630000000001
06/06/2026 21:41:17,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
06/06/2026 21:41:17,System.Runtime,dotnet.assembly.count ({assembly}),Metric,54
06/06/2026 21:41:17,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,315
06/06/2026 21:41:17,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,262728
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,59248
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,13496
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,834800
06/06/2026 21:41:17,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
06/06/2026 21:41:17,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,171589632
06/06/2026 21:41:17,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,4
06/06/2026 21:41:17,System.Runtime,dotnet.timer.count ({timer}),Metric,28
06/06/2026 21:41:17,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
06/06/2026 21:41:17,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
06/06/2026 21:41:17,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,1
06/06/2026 21:41:17,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0.010961
06/06/2026 21:41:18,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0874549
06/06/2026 21:41:18,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,7555
06/06/2026 21:41:18,System.Runtime,dotnet.process.memory.working_set (By),Metric,211206144
06/06/2026 21:41:18,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,107
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,524344
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,688944
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,2386568
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,157895840
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,843064
06/06/2026 21:41:18,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,15
06/06/2026 21:41:18,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.00021400000000000585
06/06/2026 21:41:18,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.09226899999999993
06/06/2026 21:41:18,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
06/06/2026 21:41:18,System.Runtime,dotnet.assembly.count ({assembly}),Metric,54
06/06/2026 21:41:18,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,315
06/06/2026 21:41:18,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,285984
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,59248
06/06/2026 21:41:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,13496
